sample,microbe,inhibition_SXT,inhibition_CIP,inhibition_TGC,inhibition_CTX,inhibition_AMP,inhibition_GM,inhibition_MEM,inhibition_ATM,inhibition_CRO,inhibition_VAN,sensitivity_SXT,sensitivity_CIP,sensitivity_TGC,sensitivity_CTX,sensitivity_AMP,sensitivity_GM,sensitivity_MEM,sensitivity_ATM,sensitivity_CRO,sensitivity_VAN
Bangwe Amaranthus,E. coli,,,,,,,,,,,,,,,,,,,,
Bangwe Chicken manure,Acinetobacter junni,,,,,,,,,,,,,,,,,,,,
Bangwe Chicken manure,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Bangwe Chicken manure,E. coli,,,,,,,,,,,,,,,,,,,,
Bangwe Chinese cabbage,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Bangwe Farm soil,Serratia odoniferia,,,,,,,,,,,,,,,,,,,,
Bangwe Farm soil,E. coli,,,,,,,,,,,,,,,,,,,,
Bangwe Home soil,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Bangwe Rape,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Bangwe Rape,Pasteurella Spp,,,,,,,,,,,,,,,,,,,,
Chigumula Amaranthus,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chigumula Amaranthus,Pasteurella Spp,,,,,,,,,,,,,,,,,,,,
Chigumula Chicken manure,Acinetobacter Spp,,,,,,,,,,,,,,,,,,,,
Chigumula Chicken manure,E. coli,,,,,,,,,,,,,,,,,,,,
Chigumula Chinese Cabbage,Raoultella ornitholytica,,,,,,,,,,,,,,,,,,,,
Chigumula Farm soil,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chigumula Farm soil,Pseudomonas Spp,,,,,,,,,,,,,,,,,,,,
Chigumula Rape,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chigumula Rape,Erwinia Spp,,,,,,,,,,,,,,,,,,,,
Chileka 1 Amaranthus,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chileka 1 Chinese Cabbage,E. coli,,,,,,,,,,,,,,,,,,,,
Chileka 1 Farm soil,E. coli,,,,,,,,,,,,,,,,,,,,
Chileka 1 Farm soil,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chileka 1 Farm soil,Pseudomonas luteola,,,,,,,,,,,,,,,,,,,,
Chileka 1 Farm soil,Xanthomonas maltophilia,,,,,,,,,,,,,,,,,,,,
Chileka 1 Home soil,Stenotrophomonas,,,,,,,,,,,,,,,,,,,,
Chileka 1 Home soil,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chileka 1 Pig manure,E. coli,,,,,,,,,,,,,,,,,,,,
Chileka 1 Rape,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chileka 1 Rape,Pseudomonas cepacia,,,,,,,,,,,,,,,,,,,,
Chileka 2 Amaranthus,Pasteurella Spp,,,,,,,,,,,,,,,,,,,,
Chileka 2 Chinese cabbage,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chileka 2 Farm soil,Xanthomonas maltophilia,,,,,,,,,,,,,,,,,,,,
Chileka 2 Farm soil,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chileka 2 Home soil,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chileka 2 Home soil,Stenotrophomonas maltophilia,,,,,,,,,,,,,,,,,,,,
Chileka 2 Pig manure,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chileka 2 Pig manure,E. coli,,,,,,,,,,,,,,,,,,,,
Chileka 2 Rape,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Chileka 2 Rape,Pseudomonas aeruginosa,,,,,,,,,,,,,,,,,,,,
Mpemba Amaranthus,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Mpemba Chicken manure,Serratia odoniferia,,,,,,,,,,,,,,,,,,,,
Mpemba Chicken manure,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Mpemba Chicken manure,E. coli,,,,,,,,,,,,,,,,,,,,
Mpemba Chinese cabbage,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Mpemba farm soil,E. coli,,,,,,,,,,,,,,,,,,,,
Mpemba Farm soil,Yersinia pestis,,,,,,,,,,,,,,,,,,,,
Mpemba farm soil,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Mpemba Home soil,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Mpemba Home soil,Salmonella choleraesuis,,,,,,,,,,,,,,,,,,,,
Mpemba Pig manure,E. coli,,,,,,,,,,,,,,,,,,,,
Mpemba Pig manure,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Mpemba Pig manure,Acinetobacter pitii,,,,,,,,,,,,,,,,,,,,
Mpemba Pig manure,Acinetobacter Spp,,,,,,,,,,,,,,,,,,,,
Mpemba Rape,Klebsiella pneumoniae,,,,,,,,,,,,,,,,,,,,
Mpemba Rape,Pseudomonas cepacia,,,,,,,,,,,,,,,,,,,,
