id,farm,sample,item,sensitivity,microbe,SXT,CIP,TGC,CTX,AMP,GM,MEM,ATM,CRO,VAN
1,Bangwe,Vegetable,Amaranthus,R,E. coli,,,,,,,,,,
1,Bangwe,Vegetable,Amaranthus,I,E. coli,,,,,,,,,,
1,Bangwe,Vegetable,Amaranthus,S,E. coli,,,,,,,,,,
1,Bangwe,Manure,Chicken manure,S,Acinetobacter junni,,,,,,,,,,
1,Bangwe,Manure,Chicken manure,I,Acinetobacter junni,,,,,,,,,,
1,Bangwe,Manure,Chicken manure,R,Acinetobacter junni,,,,,,,,,,
1,Bangwe,Manure,Chicken manure,R,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Manure,Chicken manure,I,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Manure,Chicken manure,S,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Manure,Chicken manure,R,E. coli,,,,,,,,,,
1,Bangwe,Manure,Chicken manure,S,E. coli,,,,,,,,,,
1,Bangwe,Vegetable,Chinese Cabbage,R,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Vegetable,Chinese Cabbage,S,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Soil,Farm soil,S,Serratia odoniferia,,,,,,,,,,
1,Bangwe,Soil,Farm soil,R,Serratia odoniferia,,,,,,,,,,
1,Bangwe,Soil,Farm soil,S,E. coli,,,,,,,,,,
1,Bangwe,Soil,Farm soil,R,E. coli,,,,,,,,,,
1,Bangwe,Soil,Home soil,R,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Soil,Home soil,I,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Soil,Home soil,S,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Vegetable,Rape,R,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Vegetable,Rape,S,Klebsiella pneumoniae,,,,,,,,,,
1,Bangwe,Vegetable,Rape,R,Pasteurella Spp,,,,,,,,,,
1,Bangwe,Vegetable,Rape,S,Pasteurella Spp,,,,,,,,,,
2,Chigumula,Vegetable,Amaranthus,R,Klebsiella pneumoniae,,,,,,,,,,
2,Chigumula,Vegetable,Amaranthus,S,Klebsiella pneumoniae,,,,,,,,,,
2,Chigumula,Vegetable,Amaranthus,S,Pasteurella Spp,,,,,,,,,,
2,Chigumula,Vegetable,Amaranthus,R,Pasteurella Spp,,,,,,,,,,
2,Chigumula,Manure,Chicken manure,S,Acinetobacter Spp,,,,,,,,,,
2,Chigumula,Manure,Chicken manure,R,Acinetobacter Spp,,,,,,,,,,
2,Chigumula,Manure,Chicken manure,I,Acinetobacter Spp,,,,,,,,,,
2,Chigumula,Manure,Chicken manure,S,E. coli,,,,,,,,,,
2,Chigumula,Manure,Chicken manure,R,E. coli,,,,,,,,,,
2,Chigumula,Vegetable,Chinese Cabbage,R,Raoultella ornitholytica,,,,,,,,,,
2,Chigumula,Vegetable,Chinese Cabbage,S,Raoultella ornitholytica,,,,,,,,,,
2,Chigumula,Soil,Farm soil,R,Klebsiella pneumoniae,,,,,,,,,,
2,Chigumula,Soil,Farm soil,I,Klebsiella pneumoniae,,,,,,,,,,
2,Chigumula,Soil,Farm soil,S,Klebsiella pneumoniae,,,,,,,,,,
2,Chigumula,Soil,Farm soil,R,Pseudomonas Spp,,,,,,,,,,
2,Chigumula,Soil,Farm soil,S,Pseudomonas Spp,,,,,,,,,,
2,Chigumula,Soil,Farm soil,I,Pseudomonas Spp,,,,,,,,,,
2,Chigumula,Vegetable,Rape,R,Klebsiella pneumoniae,,,,,,,,,,
2,Chigumula,Vegetable,Rape,S,Klebsiella pneumoniae,,,,,,,,,,
2,Chigumula,Vegetable,Rape,S,Erwinia Spp,,,,,,,,,,
3,Chileka1,Vegetable,Amaranthus,R,Klebsiella pneumoniae,,,,,,,,,,
3,Chileka1,Vegetable,Amaranthus,S,Klebsiella pneumoniae,,,,,,,,,,
3,Chileka1,Vegetable,Chinese Cabbage,R,E. coli,,,,,,,,,,
