id,farm,sample,item,antibiotic,inhibition,sensitivity,microbe
1,Bangwe,Vegetable, Amaranthus ,SXT,6,R,E. coli
1,Bangwe,Vegetable, Amaranthus ,CIP,24,I,E. coli
1,Bangwe,Vegetable, Amaranthus ,TGC,20,S,E. coli
1,Bangwe,Vegetable, Amaranthus ,CTX,23,S,E. coli
1,Bangwe,Vegetable, Amaranthus ,AMP,6,R,E. coli
1,Bangwe,Vegetable, Amaranthus ,GM,6,R,E. coli
1,Bangwe,Manure,Chicken manure,SXT,20,S,Acinetobacter junni
1,Bangwe,Manure,Chicken manure,CIP,26,I,Acinetobacter junni
1,Bangwe,Manure,Chicken manure,GM,20,R,Acinetobacter junni
1,Bangwe,Manure,Chicken manure,MEM,24,S,Acinetobacter junni
1,Bangwe,Manure,Chicken manure ,SXT,7,R,Klebsiella pneumoniae
1,Bangwe,Manure,Chicken manure ,CIP,22,I,Klebsiella pneumoniae
1,Bangwe,Manure,Chicken manure ,TGC,10,R,Klebsiella pneumoniae
1,Bangwe,Manure,Chicken manure ,CTX,23,S,Klebsiella pneumoniae
1,Bangwe,Manure,Chicken manure ,AMP,7,R,Klebsiella pneumoniae
1,Bangwe,Manure,Chicken manure ,GM,7,R,Klebsiella pneumoniae
1,Bangwe,Manure,Chicken manure ,SXT,6,R,E. coli
1,Bangwe,Manure,Chicken manure ,CIP,26,S,E. coli
1,Bangwe,Manure,Chicken manure ,TGC,19,S,E. coli
1,Bangwe,Manure,Chicken manure ,CTX,6,R,E. coli
1,Bangwe,Manure,Chicken manure ,AMP,6,R,E. coli
1,Bangwe,Manure,Chicken manure ,GM,21,S,E. coli
1,Bangwe,Vegetable,Chinese Cabbage ,SXT,6,R,Klebsiella pneumoniae
1,Bangwe,Vegetable,Chinese Cabbage ,CIP,28,S,Klebsiella pneumoniae
1,Bangwe,Vegetable,Chinese Cabbage ,TGC,19,S,Klebsiella pneumoniae
1,Bangwe,Vegetable,Chinese Cabbage ,CTX,28,S,Klebsiella pneumoniae
1,Bangwe,Vegetable,Chinese Cabbage ,AMP,6,R,Klebsiella pneumoniae
1,Bangwe,Vegetable,Chinese Cabbage ,GM,7,R,Klebsiella pneumoniae
1,Bangwe,Soil,Farm soil,ATM,23,S,Serratia odoniferia
1,Bangwe,Soil,Farm soil,CTX,20,R,Serratia odoniferia
1,Bangwe,Soil,Farm soil,GM,20,S,Serratia odoniferia
1,Bangwe,Soil,Farm soil,CRO,5,R,Serratia odoniferia
1,Bangwe,Soil,Farm soil,CIP,24,S,Serratia odoniferia
1,Bangwe,Soil,Farm soil ,SXT,21,S,E. coli
1,Bangwe,Soil,Farm soil ,CIP,28,S,E. coli
1,Bangwe,Soil,Farm soil ,TGC,23,S,E. coli
