sample,antibiotic,inhibition,sensitivity,microbe
Bangwe Amaranthus ,SXT,6,R,E. coli
Bangwe Amaranthus ,CIP,24,I,E. coli
Bangwe Amaranthus ,TGC,20,S,E. coli
Bangwe Amaranthus ,CTX,23,S,E. coli
Bangwe Amaranthus ,AMP,6,R,E. coli
Bangwe Amaranthus ,GM,6,R,E. coli
Bangwe Chicken manure,SXT,20,S,Acinetobacter junni
Bangwe Chicken manure,CIP,26,I,Acinetobacter junni
Bangwe Chicken manure,GM,20,R,Acinetobacter junni
Bangwe Chicken manure,MEM,24,S,Acinetobacter junni
Bangwe Chicken manure ,SXT,7,R,Klebsiella pneumoniae
Bangwe Chicken manure ,CIP,22,I,Klebsiella pneumoniae
Bangwe Chicken manure ,TGC,10,R,Klebsiella pneumoniae
Bangwe Chicken manure ,CTX,23,S,Klebsiella pneumoniae
Bangwe Chicken manure ,AMP,7,R,Klebsiella pneumoniae
Bangwe Chicken manure ,GM,7,R,Klebsiella pneumoniae
Bangwe Chicken manure ,SXT,6,R,E. coli
Bangwe Chicken manure ,CIP,26,S,E. coli
Bangwe Chicken manure ,TGC,19,S,E. coli
Bangwe Chicken manure ,CTX,6,R,E. coli
Bangwe Chicken manure ,AMP,6,R,E. coli
Bangwe Chicken manure ,GM,21,S,E. coli
Bangwe Chinese cabbage ,SXT,6,R,Klebsiella pneumoniae
Bangwe Chinese cabbage ,CIP,28,S,Klebsiella pneumoniae
Bangwe Chinese cabbage ,TGC,19,S,Klebsiella pneumoniae
Bangwe Chinese cabbage ,CTX,28,S,Klebsiella pneumoniae
Bangwe Chinese cabbage ,AMP,6,R,Klebsiella pneumoniae
Bangwe Chinese cabbage ,GM,7,R,Klebsiella pneumoniae
Bangwe Farm soil,ATM,23,S,Serratia odoniferia
Bangwe Farm soil,CTX,20,R,Serratia odoniferia
Bangwe Farm soil,GM,20,S,Serratia odoniferia
Bangwe Farm soil,CRO,5,R,Serratia odoniferia
Bangwe Farm soil,CIP,24,S,Serratia odoniferia
Bangwe Farm soil ,SXT,21,S,E. coli
Bangwe Farm soil ,CIP,28,S,E. coli
Bangwe Farm soil ,TGC,23,S,E. coli
Bangwe Farm soil ,CTX,7,R,E. coli
Bangwe Farm soil ,AMP,10,R,E. coli
Bangwe Farm soil ,GM,20,S,E. coli
Bangwe Home soil ,SXT,6,R,Klebsiella pneumoniae
Bangwe Home soil ,CIP,24,I,Klebsiella pneumoniae
Bangwe Home soil ,TGC,15,R,Klebsiella pneumoniae
Bangwe Home soil ,CTX,25,S,Klebsiella pneumoniae
Bangwe Home soil ,AMP,6,R,Klebsiella pneumoniae
Bangwe Home soil ,GM,6,R,Klebsiella pneumoniae
Bangwe Home soil ,SXT,6,R,Klebsiella pneumoniae
Bangwe Home soil ,CIP,20,R,Klebsiella pneumoniae
Bangwe Home soil ,TGC,24,S,Klebsiella pneumoniae
Bangwe Home soil ,CTX,21,S,Klebsiella pneumoniae
Bangwe Home soil ,AMP,6,R,Klebsiella pneumoniae
Bangwe Home soil ,GM,6,R,Klebsiella pneumoniae
Bangwe Home soil ,SXT,6,R,Klebsiella pneumoniae
Bangwe Home soil ,CIP,23,I,Klebsiella pneumoniae
Bangwe Home soil ,TGC,20,S,Klebsiella pneumoniae
Bangwe Home soil ,CTX,25,S,Klebsiella pneumoniae
Bangwe Home soil ,AMP,7,R,Klebsiella pneumoniae
Bangwe Home soil ,GM,7,R,Klebsiella pneumoniae
Bangwe Rape ,SXT,6,R,Klebsiella pneumoniae
Bangwe Rape ,CIP,25,S,Klebsiella pneumoniae
Bangwe Rape ,TGC,17,R,Klebsiella pneumoniae
Bangwe Rape ,CTX,26,S,Klebsiella pneumoniae
Bangwe Rape ,AMP,6,R,Klebsiella pneumoniae
Bangwe Rape ,GM,7,R,Klebsiella pneumoniae
Bangwe Rape ,ATM,3,R,Pasteurella Spp
Bangwe Rape ,GM,5,R,Pasteurella Spp
Bangwe Rape ,CRO,20,S,Pasteurella Spp
Bangwe Rape ,AMP,6,R,Pasteurella Spp
Chigumula Amaranthus,SXT,6,R,Klebsiella pneumoniae
Chigumula Amaranthus,CIP,26,S,Klebsiella pneumoniae
Chigumula Amaranthus,TGC,20,S,Klebsiella pneumoniae
Chigumula Amaranthus,CTX,19,R,Klebsiella pneumoniae
Chigumula Amaranthus,AMP,6,R,Klebsiella pneumoniae
Chigumula Amaranthus,GM,6,R,Klebsiella pneumoniae
Chigumula Amaranthus,ATM,30,S,Pasteurella Spp
Chigumula Amaranthus,GM,7,R,Pasteurella Spp
Chigumula Amaranthus,CRO,36,S,Pasteurella Spp
Chigumula Amaranthus,AMP,8,R,Pasteurella Spp
Chigumula Amaranthus,ATM,30,S,Pasteurella Spp
Chigumula Amaranthus,SXT,8,R,Pasteurella Spp
Chigumula Amaranthus,GM,0,R,Pasteurella Spp
Chigumula Amaranthus,VAN,0,R,Pasteurella Spp
Chigumula Amaranthus,CRO,36,S,Pasteurella Spp
Chigumula Amaranthus,CIP,32,S,Pasteurella Spp
Chigumula Chicken manure,ATM,24,S,Acinetobacter Spp
Chigumula Chicken manure,SXT,0,R,Acinetobacter Spp
Chigumula Chicken manure,GM,21,S,Acinetobacter Spp
Chigumula Chicken manure,VAN,0,R,Acinetobacter Spp
Chigumula Chicken manure,CRO,14,I,Acinetobacter Spp
Chigumula Chicken manure,CIP,23,S,Acinetobacter Spp
Chigumula Chicken manure,SXT,25,S,E. coli
Chigumula Chicken manure,CIP,32,S,E. coli
Chigumula Chicken manure,TGC,19,S,E. coli
Chigumula Chicken manure,CTX,14,S,E. coli
Chigumula Chicken manure,AMP,21,S,E. coli
Chigumula Chicken manure,GM,7,R,E. coli
Chigumula Chinese Cabbage,SXT,6,R,Raoultella ornitholytica
Chigumula Chinese Cabbage,CIP,25,S,Raoultella ornitholytica
Chigumula Chinese Cabbage,TGC,18,S,Raoultella ornitholytica
Chigumula Chinese Cabbage,CTX,23,S,Raoultella ornitholytica
Chigumula Chinese Cabbage,AMP,9,R,Raoultella ornitholytica
Chigumula Chinese Cabbage,GM,20,S,Raoultella ornitholytica
Chigumula Farm soil,SXT,6,R,Klebsiella pneumoniae
Chigumula Farm soil,CIP,23,I,Klebsiella pneumoniae
Chigumula Farm soil,TGC,28,S,Klebsiella pneumoniae
Chigumula Farm soil,CTX,6,R,Klebsiella pneumoniae
Chigumula Farm soil,AMP,7,R,Klebsiella pneumoniae
Chigumula Farm soil,GM,6,R,Klebsiella pneumoniae
Chigumula Farm soil,ATM,0,R,Pseudomonas Spp
Chigumula Farm soil,CTX,19,R,Pseudomonas Spp
Chigumula Farm soil,GM,25,S,Pseudomonas Spp
Chigumula Farm soil,CRO,18,I,Pseudomonas Spp
Chigumula Farm soil,CIP,26,S,Pseudomonas Spp
Chigumula Rape,SXT,6,R,Klebsiella pneumoniae
Chigumula Rape,CIP,24,S,Klebsiella pneumoniae
Chigumula Rape,TGC,25,S,Klebsiella pneumoniae
Chigumula Rape,CTX,21,S,Klebsiella pneumoniae
